name;media 11 GHz;std 11 GHz;media 13 GHz;std 13 GHz;media 17 GHz;std 17 GHz;media 19 GHz;std 19 GHz;glat;glon;SNR 11 GHz;SNR 13 GHz;SNR 17 GHz;SNR 19 GHz
MFI-PSCe-243;0.86384606;0.22604828;1.0;8.429369e-09;0.9998964;0.000606297;0.9004541;0.20887539;-47.12499884101688;93.03801127688877;2.7745506617625386;4.969650622817878;2.614307390546982;1.9625620132088477
MFI-PSCe-244;0.10211857;0.23412599;0.27313483;0.36262;1.2650453e-08;5.6924023e-08;4.8640904e-06;1.7876033e-05;-33.09799840220026;93.27301068127906;2.1358804659866264;2.0238092387399442;1.4185505170781951;1.6836252840856332
MFI-PSCe-245;0.8650884;0.22578047;0.3854606;0.3207411;0.98532504;0.041610945;0.4094346;0.37618652;37.91600157516624;94.05300543260029;3.6754761273116956;2.6937387565080484;1.5911113068063971;1.1777648090625497
MFI-PSCe-248;0.37421742;0.3872995;0.0035658723;0.00826857;0.8797823;0.16848321;0.7904581;0.25012898;-42.84699887525603;94.82901118523064;2.03279586282002;2.2718194580530464;2.903973974642821;2.362166281453278
MFI-PSCe-249;0.98115104;0.06730895;0.85857004;0.21981029;1.2535436e-05;5.9739654e-05;0.045658756;0.15969351;69.30999881388178;95.00099828620564;3.104348949024881;2.9849936860979027;1.1545241089033051;1.6130376037413803
MFI-PSCe-251;0.9999989;4.405126e-06;0.99999774;1.18064145e-05;0.04246039;0.1697696;0.027940875;0.10070717;57.59800086670818;95.797998372998;1.6555442666826796;1.6303614093565677;2.6280253581271102;2.254797464872521
MFI-PSCe-260;1.0;0.0;1.0;0.0;1.0;0.0;0.20912506;0.32479015;58.305001718624986;98.29599944584233;4.268797211666398;4.6172812614611995;3.668557275165098;2.039434981737085
MFI-PSCe-262;0.96494806;0.08135337;0.98208374;0.049812853;0.49379948;0.37399763;0.00029603226;0.0008860914;40.77000189131231;98.72200400973418;2.480819416284175;1.7476085498876723;1.780201255930018;1.584565223712006
MFI-PSCe-266;0.98350817;0.055109832;0.15226236;0.23497733;0.16663307;0.30139393;0.00718045;0.03458708;-31.223997546074003;99.65900442035296;3.1395220239101165;1.9538428364629652;2.7036929112900663;2.9829750186790354
MFI-PSCe-271;0.99614507;0.019814245;0.63928485;0.3684247;4.2648224e-10;1.988677e-09;1.06851e-08;4.1866e-08;69.4820037779888;100.5660010204302;2.393218902140769;2.517846882504698;1.6565574502101423;1.3003790415420966
MFI-PSCe-274;1.0;0.0;1.0;0.0;0.46169612;0.4105087;0.37436217;0.36662048;80.61399997046196;101.38399298770116;3.2956428002711857;2.6002476273304915;2.7961187523107367;2.744380171522627
MFI-PSCe-276;0.8522041;0.25660497;0.99999833;7.4938994e-06;2.575906e-05;0.00013415323;1.4962559e-05;6.077479e-05;43.907003129139966;103.06100073800016;2.18590668594944;2.6718493051388847;1.0820029874574468;0.9948445503389223
MFI-PSCe-279;0.9999986;8.894215e-06;0.99999964;1.7988165e-06;0.0785176;0.16399722;0.9184992;0.17519541;61.360002323661945;104.84300389939192;3.2203744121681797;3.8124573879155093;0.8249103939865307;0.8847260448701884
MFI-PSCe-280;0.7568319;0.25372684;0.9098728;0.14255154;0.0010590069;0.0072607975;3.241391e-07;1.360317e-06;49.72300130233359;105.21100177627962;2.6718717453478398;3.2500924652431245;2.5677974479683505;2.59430029807227
MFI-PSCe-283;0.012339341;0.03354093;0.041653186;0.12191441;1.8056485e-11;1.1684985e-10;0.0004172154;0.0024495514;-41.343000533840254;106.49701004713448;1.002616077020873;1.7855111571894875;1.2597551764158887;0.8191959614931177
MFI-PSCe-287;4.2967972e-08;1.937704e-07;2.2122417e-06;9.6449e-06;1.6641341e-11;1.1647508e-10;0.0038353037;0.026806396;-50.59599123231286;107.0570084215066;0.22149687373754337;0.0078030108157548005;1.413946936211829;1.6870368968496927
MFI-PSCe-289;0.99999887;5.0271706e-06;0.9999959;1.4549729e-05;0.99998593;6.54387e-05;0.9949888;0.013980634;65.96100037933621;107.86000136031386;2.846090671963431;2.802491670440854;2.8135112495354733;2.6829075240561844
MFI-PSCe-290;0.9640818;0.13633168;1.0;0.0;0.69621736;0.39536068;0.7793543;0.33732536;84.47599977156302;107.92197809715856;2.757143997611347;3.8101813051189755;1.8413514206769768;1.8050683613535585
MFI-PSCe-291;0.00013273911;0.00059067557;2.7960382e-06;1.374141e-05;6.904776e-11;4.729959e-10;2.025233e-06;1.1050462e-05;-41.14700131030585;108.32000802827;1.6391631001815983;1.3700587863337608;1.574236592849377;1.639553115590919
MFI-PSCe-294;0.021460481;0.120346256;0.0014585698;0.0063741626;4.161936e-12;1.5908507e-11;1.0023018e-11;4.912335e-11;60.84900092749572;109.28000070732556;1.1452900484394768;1.447351348585444;0.983315724291925;1.0006676785201323
MFI-PSCe-295;0.58517766;0.40221024;0.96889275;0.077386186;1.0;3.1200057e-07;0.00098683;0.0067332545;53.026002890957294;109.52700347729244;2.0647941385582853;2.5335595655016827;3.879105822754584;2.600694287923598
MFI-PSCe-301;1.0;8.429369e-09;0.9999995;1.7300139e-06;0.57178587;0.37218064;0.0019787468;0.00808205;57.51600086885579;112.32700610281798;3.40172316529721;3.737847041573808;1.4491510258175857;0.9668572328429427
MFI-PSCe-303;0.9999624;0.00015685473;0.999969;0.00014181019;0.7796372;0.33060887;0.28694823;0.3404722;-41.89599404577555;112.822006848225;3.713810051186588;2.990104997559985;1.86297509080138;1.3027222304259787
MFI-PSCe-307;0.11397152;0.2086965;0.052359927;0.11933972;0.7610402;0.3108378;0.90337104;0.18573435;-36.341001326585406;113.92800926005648;0.7475575218758478;1.1151161839710488;1.584158629379813;2.0568888429594794
MFI-PSCe-309;0.72647405;0.40405813;0.9789389;0.06502571;0.5044152;0.39672357;0.56989294;0.38612714;50.18600294264214;114.62500357209352;2.1775545277724255;2.9248224378470455;3.0516317388047605;1.3811667937242684
MFI-PSCe-311;3.17473e-07;2.1781566e-06;1.8451918e-05;7.267139e-05;6.0547584e-10;3.605521e-09;0.008865308;0.059722897;-42.48299955232992;115.6290060027886;1.401187931955715;1.0410375371524143;0.9397917850559023;0.791096248135351
MFI-PSCe-313;0.010694695;0.046510767;0.00013212468;0.00070802774;2.2475462e-10;1.0315421e-09;0.110149816;0.2403318;-31.32099693597014;117.04600512114446;2.2064007642313572;0.06667567320906681;0.8961872689259697;0.875669825299141
MFI-PSCe-317;0.5839384;0.33699846;0.9981549;0.008047188;0.011395464;0.05505441;0.016092623;0.077991225;-52.77599870795768;118.67100653271692;2.582962270001142;3.686805381312802;2.457795503138555;0.9698843961510528
MFI-PSCe-318;0.9554605;0.08699111;0.54972;0.4057889;0.79584193;0.3716503;0.44351235;0.41206893;66.58999862994004;119.32599794271256;2.068047217905826;2.2944489377874486;1.1009098988527029;1.0821237715459906
MFI-PSCe-320;0.49542674;0.38703474;0.7540024;0.35668844;0.9898322;0.037509758;0.8941023;0.22857524;65.38099901996875;120.00499911466568;1.9481025268515029;2.1958162468162885;1.2331048629376693;0.9181493909903994
MFI-PSCe-321;0.97937536;0.105536;0.79295313;0.28892952;8.562303e-10;5.7971636e-09;5.3464605e-06;3.3573142e-05;59.27800219435857;120.01999950221624;2.6873136796011137;1.6445358684981535;0.7134558494233083;0.12589994110583072
MFI-PSCe-323;0.9944167;0.012844516;0.06833406;0.17170946;0.0003229615;0.0020233858;0.0030527476;0.014983252;-39.46299511530171;120.16500876912686;2.7988849789425276;2.164959460054002;2.075117646409643;1.525723908730027
MFI-PSCe-328;0.011298033;0.07862848;0.32972586;0.37967762;0.00047882754;0.0032209684;5.058824e-06;3.3986173e-05;-40.24499273787735;121.8680040563594;0.7524281016098298;1.6861708037409118;1.3678730709775664;0.013796947287156086
MFI-PSCe-329;9.135752e-08;4.3000577e-07;0.031251505;0.11094237;0.00044389226;0.0031024744;8.534021e-05;0.00031934425;-30.90799473825784;122.2820050354272;1.108133327456681;1.6645856511532107;0.957858072701706;1.7854803989806665
MFI-PSCe-333;0.65470904;0.34982696;0.018551812;0.063347705;0.9497015;0.16160692;0.9982208;0.0051541156;-32.46299497069785;124.52900669405908;2.3950148814236942;2.590539046739246;3.382941692242068;3.441491062605627
MFI-PSCe-334;0.9662899;0.13401163;0.0021175393;0.01071936;0.7947067;0.3272884;0.00010069214;0.00065475877;-46.429990201777855;124.7880101177116;1.3501612433328694;0.7365570260137084;1.8780993992400086;1.7322323988415798
MFI-PSCe-340;0.9999948;2.266632e-05;0.99998903;5.0176266e-05;0.22877441;0.34932685;0.3294572;0.35686517;-30.27799734215741;126.810004771379;4.780125134132962;3.6953503969439736;2.379095002617717;1.6292168625277903
MFI-PSCe-343;0.8058502;0.31302088;1.8295506e-05;7.326248e-05;0.008213509;0.04788379;0.13226327;0.27867717;-30.498997972734955;128.20500901603273;2.2239848821502077;1.1264845333404656;2.23593385852578;2.8596790263396232
MFI-PSCe-344;0.7807108;0.34764287;1.0492392e-05;7.2776485e-05;0.996519;0.016756142;0.00014014891;0.0009328229;76.19600172324726;128.23899794085594;2.0949408485392906;0.9064876553130581;2.7406544793751264;2.0806019631031285
MFI-PSCe-346;1.0;0.0;1.0;0.0;1.0;1.09581805e-07;0.99655646;0.017516445;-49.31399275048314;129.4170155118511;8.004515135458654;7.717095069373242;3.668445167029867;2.1625185594762866
MFI-PSCe-347;0.07003209;0.17913814;0.1840193;0.26588842;9.658782000000001e-18;6.76113e-17;6.3873525e-11;2.5662036e-10;-30.334996461925726;129.84300945449627;1.6696525806814677;1.5374880964317468;1.1636603460668646;1.129757653001472
MFI-PSCe-350;0.88804305;0.17060767;0.44577008;0.32522243;0.44786948;0.3823381;0.79877746;0.279839;-32.478993625643355;130.90500596404374;2.266878183447504;1.963194411813623;2.0220564364072637;1.723316134684921
MFI-PSCe-351;0.99999964;1.5573588e-06;0.9952486;0.025317036;1.0;0.0;0.9999971;1.14371205e-05;57.9720027854924;131.3580055262872;4.056301428046085;2.853259347565647;3.5761256758164963;2.737340701276825
MFI-PSCe-352;0.76881814;0.27081606;0.215531;0.31966302;0.98231566;0.068534695;0.8824818;0.28403375;79.06800346579287;131.7039932812544;3.7671813483149355;2.0045001913659903;1.6954707574698074;1.9826172724068931
MFI-PSCe-353;0.99908876;0.0018348241;0.9895403;0.022196883;3.458465e-05;0.00021753341;0.99792284;0.012128272;-37.25599402832104;131.84300965964414;2.1337581873303577;1.9532625002700752;1.2893226485590366;2.366914993518993
MFI-PSCe-355;0.009450054;0.046331283;3.3338565e-05;0.00020007884;0.0008561972;0.0052214228;0.081089824;0.23528832;-48.13900487902099;132.37200185660717;;1.0036309093186029;1.8677323949962386;1.4660492524768711
MFI-PSCe-356;0.52161133;0.34767303;0.12618947;0.20284681;0.00012285377;0.00081910193;0.18018155;0.31544638;-36.22199742237886;132.78400384846984;1.9853873802556565;1.7877513111369794;0.8090429612203267;0.8798684872200908
MFI-PSCe-357;0.033665743;0.11934429;0.19347464;0.26624212;7.496517e-05;0.00038212602;0.17270653;0.26167;67.75100215368956;132.9089993075628;2.2056702625309486;1.8788452555703254;1.2688909045980614;1.1580006097965825
MFI-PSCe-359;0.99999917;4.721079e-06;0.9951057;0.018410921;0.99881506;0.006916894;0.23447403;0.37796497;-31.26299776806525;133.61600437726025;2.2820022193403418;2.7242691374346832;3.505197279308204;2.6261505765258546
MFI-PSCe-361;0.99998885;4.1083367e-05;0.4745374;0.3336844;2.0263302e-09;8.345567e-09;9.419906e-07;6.5937984e-06;49.73500334564299;134.22900851058307;3.819982536126146;2.9507118258003744;1.4272374191132262;1.2115724651803763
MFI-PSCe-363;1.0;0.0;1.0;0.0;1.0;2.3602236e-07;1.0;7.202057e-08;-50.35000335980027;134.5960008844657;4.535932292943313;4.98054871248921;5.019956765933441;4.669409346664616
MFI-PSCe-364;0.05978562;0.12318684;0.03065665;0.08774936;0.99629354;0.024688035;0.85767305;0.25030822;55.32700242904824;135.49499944748635;1.3281091874831352;1.4786572743895854;2.2780684619192084;1.996357010486349
MFI-PSCe-367;0.9999;0.00043376602;0.72889084;0.25136033;0.48735157;0.39720133;0.0265832;0.0975691;67.74400609684272;137.13800371162327;2.620767935645561;1.8586694248171165;2.107989642026577;1.7366997787139238
MFI-PSCe-373;0.027632393;0.10176611;0.005231444;0.018574785;4.44318e-10;2.4273104e-09;0.0006535795;0.002215766;-39.81399248340578;141.05600683107517;1.8175414189356902;1.538064082201085;0.9948427651309877;0.6962775897368245
MFI-PSCe-374;0.8176033;0.24972346;0.79032236;0.261215;0.98339653;0.11244595;0.96935654;0.12809196;-38.583996755545584;141.07401216460542;4.120489221246609;4.924356115273153;2.7654120773708177;2.9441981457659345
MFI-PSCe-375;0.9985322;0.0037747333;0.7310942;0.24530885;0.66766465;0.3011619;0.37817967;0.336029;54.76200391765765;141.1640062300018;3.615532041236662;2.7072028282690708;2.4398482801504504;1.5742767170022864
MFI-PSCe-377;0.99994206;0.00028289855;0.9999929;4.633359e-05;0.92606264;0.17461812;0.54917;0.38296232;61.740000778125086;143.18300315640903;2.7535861781151003;2.4783544660272683;3.0782400840998307;2.6491307931045416
MFI-PSCe-379;0.7162574;0.34911996;0.9594443;0.16645618;0.5156714;0.4343737;0.069084026;0.20108461;67.09199816414376;143.85001021597515;1.3274666620589102;1.8126833006594976;1.8948625283406322;1.628478732333541
MFI-PSCe-385;1.0;0.0;1.0;0.0;0.99999696;1.5526297e-05;0.22890191;0.3245024;64.96900472071906;145.60200950971017;7.373677736492736;7.086652605937668;4.5581631586166695;2.684058412177721
MFI-PSCe-386;0.99999994;5.6802946e-07;0.9999994;4.137679e-06;0.6536192;0.313623;0.002986842;0.011024189;43.12700185413728;145.75000547498067;3.3960743910320073;3.5182177598668583;2.991415114877381;1.97835389267838
MFI-PSCe-389;0.988447;0.029877855;0.98419917;0.046678003;0.833116;0.2080735;0.0023003647;0.0071317623;-30.799000634221866;146.8190068992626;3.1368981667046447;2.9041482476132723;1.0297460257278077;1.7315349641782123
MFI-PSCe-391;6.412977e-05;0.00029474832;0.11188654;0.2631144;9.5332296e-05;0.00061964785;0.0005561223;0.0027729643;78.99800406765215;146.97900637769143;1.7972306698177127;2.127129634071876;1.2576007274386214;0.8179818890940237
MFI-PSCe-394;0.9997316;0.001164804;0.99953514;0.0020985734;0.000530182;0.0036061837;0.00054318755;0.0030022834;49.133002398983336;147.7690026146735;4.093706143726788;4.241118413248359;2.9129928880114897;0.7754563619084414
MFI-PSCe-395;1.0;1.8848644e-08;1.0;0.0;1.0;0.0;0.8226635;0.2989804;-43.995999217617886;147.85001297902318;5.523600876880453;6.197887473570155;2.861314547997724;2.703925948035392
MFI-PSCe-398;0.80053675;0.33881798;0.941634;0.18116722;0.17475195;0.21157777;0.41960523;0.3719997;47.28400338998559;149.03500920581584;2.0004029182179743;2.786872355127552;2.437973631866172;1.5088432876852733
MFI-PSCe-402;1.0;0.0;0.99998313;4.9435283e-05;0.9037073;0.23871069;0.32666782;0.37750852;40.99800412185101;152.23599825429932;6.076184583218647;3.2036250642013484;2.8284929593549153;2.718928099402846
MFI-PSCe-404;0.9979882;0.006181979;0.9955871;0.015283578;0.63703805;0.43048012;0.0002799064;0.0012475598;-47.34100039210829;152.58501340165148;2.2866005262577245;2.2773955678010473;2.4399348881300327;2.440796335261237
MFI-PSCe-405;9.299078e-06;4.711406e-05;0.005203684;0.022434346;0.00068908255;0.0034222675;0.016695622;0.054638993;55.56100385930049;153.9320125224742;1.4287285947873638;2.1962649369544565;2.198831517497733;2.185018185229147
MFI-PSCe-407;0.9976395;0.014615729;0.9999325;0.00046860066;0.00061208475;0.0029669635;0.03169246;0.13780016;32.38300246198621;155.06400138536375;3.546816924867613;3.1656795852894675;2.3440530703481444;2.7673902408612525
MFI-PSCe-413;0.0010604853;0.0054313196;0.002227478;0.004614678;0.016548894;0.038710576;0.3498402;0.3335941;69.48700255890203;156.16901191036962;0.46256589449083135;0.677381663053282;1.3046186067927001;0.947372186288822
MFI-PSCe-415;0.99999666;2.2902996e-05;0.9999997;1.0881073e-06;1.4360365e-05;8.199408e-05;0.006315883;0.020124184;-39.12499695036064;156.80701322343856;4.235750275070381;4.235968405839136;1.1233349895136593;1.5438979915786195
MFI-PSCe-416;1.0;1.6236113e-07;1.0;0.0;0.99879354;0.004896686;0.9890721;0.022875106;-42.72900085569139;157.06400175942264;5.488767848773543;4.746376850930469;2.585303072440896;2.08716424960697
MFI-PSCe-418;0.99315065;0.042136893;0.82703805;0.2149354;0.99960405;0.0020275335;0.99974924;0.0007455597;36.605002597028665;158.6250061318536;2.5421096219397494;2.590637779500476;3.268942398320271;3.1646877598420478
MFI-PSCe-419;1.0;0.0;0.99999946;3.3775486e-06;0.99998224;8.7451874e-05;0.3165845;0.37602872;47.91200180362681;158.6320098750048;6.252584502380061;5.336101596918104;3.067432669967399;2.050707300783548
MFI-PSCe-423;0.44075337;0.39168802;0.3041036;0.3582914;0.5031651;0.37493962;0.0019847455;0.00605111;-35.88899688269611;159.58800369786672;1.8920487819854883;1.0691318171409512;2.179525888643701;1.630682831508072
MFI-PSCe-426;0.054330837;0.14637132;0.030760968;0.12659764;0.0003021573;0.0010011098;0.0023602268;0.0154974405;33.19500275166509;160.42999888067374;1.55706963028273;1.872776568866875;1.1435237402083243;1.0341672575093763
MFI-PSCe-428;0.92538184;0.18757117;0.80422175;0.26055393;0.5749455;0.37608957;0.99175036;0.03702342;72.01700134798367;160.7510132953663;2.1643372604131095;1.8830482623940887;1.5554304062024684;1.541067048945966
MFI-PSCe-433;0.9622709;0.10769683;0.9995139;0.0013574458;0.9599476;0.13526997;0.28707284;0.32144046;-43.283001704384375;161.8560089686186;2.578539533877409;3.0146980375317955;2.503786560202554;2.1687757255446574
MFI-PSCe-434;0.40497237;0.33856514;0.7610244;0.29595765;0.9999988;4.340667e-06;0.9874946;0.037415538;35.10700149986813;161.920004428863;2.9978317320939207;3.1185865511438235;2.397347356117779;1.83109921716627
MFI-PSCe-436;1.0;0.0;1.0;0.0;0.10594127;0.18690653;0.013111502;0.07102326;36.54300232354439;162.17200334255855;8.879221815469807;7.569091117976668;2.1610983705270397;1.1352841235821152
MFI-PSCe-442;0.85609895;0.27766138;0.61891514;0.4392732;6.423561e-06;2.7070157e-05;0.0033995777;0.01604728;47.31700439449291;164.1010043344544;2.599340607159209;2.745265891626157;1.4554374864629944;1.087843790872214
MFI-PSCe-443;0.9999995;2.8061827e-06;0.9990371;0.0055753766;8.0032835e-11;3.7939607e-10;1.669201e-15;9.2234426e-15;30.593001556099352;164.1690126714964;3.734293044581163;3.3158975240604307;2.2061566167365307;0.9423126039500734
MFI-PSCe-444;1.0;1.6858738e-08;0.99999994;4.5244596e-07;0.99668396;0.014775519;0.657992;0.32119945;71.45199889838263;164.95101091090947;3.182892704137241;4.351083840792318;3.091036243919382;2.098632173854707
MFI-PSCe-445;1.0;0.0;1.0;1.7861514e-07;0.57093626;0.37914783;0.9655813;0.10591767;79.21399993477439;165.2500074732916;3.2522939780324243;4.012496348428776;1.9800691746062413;2.160726683878206
MFI-PSCe-446;0.2793843;0.2985074;0.043364767;0.109738685;0.02353177;0.087883115;0.09064722;0.19382738;49.89300460379464;165.28200418328998;1.7388630418590616;1.00594995476726;1.5004384560122226;1.2952909902231984
MFI-PSCe-452;0.19094855;0.3272698;0.05215646;0.18437569;2.4389958e-06;1.1311513e-05;9.053722e-06;6.183284e-05;46.65700453138987;167.45799914795182;1.998808422538401;1.5571924890197288;0.30948580571062306;1.0396895128742785
MFI-PSCe-453;0.9985158;0.002715503;0.71940047;0.31145808;0.017386667;0.11174377;1.7054297e-05;7.701182e-05;39.19400327943568;167.57201273764258;2.0526102479002577;2.0531853328604233;1.3034229633631609;1.950047520958285
MFI-PSCe-455;0.00675949;0.0279477;0.30504665;0.36803666;0.85738593;0.26761556;0.7531823;0.34061745;45.39000242413958;167.70000353911325;1.939724621252108;1.658978932133769;2.4039164464985574;1.8594635766144918
MFI-PSCe-463;0.19883218;0.34874704;0.11458015;0.26620203;0.14030364;0.2998554;0.12670487;0.2788366;32.617003604146056;169.12801248249133;2.521880028668142;1.7534941205628354;1.4780215251735656;0.926007090318879
MFI-PSCe-468;0.99999964;9.689377e-07;0.999996;2.562517e-05;0.08491432;0.19227473;0.4367128;0.35017154;50.73400417661542;170.03200449962242;4.246595845518347;3.9209627950180534;2.0109721573334176;1.686365342159661
MFI-PSCe-469;0.7203886;0.2732468;0.1945134;0.21428865;9.987655e-07;4.6060595e-06;0.00037833094;0.0011466637;36.383002435959135;170.16200914778975;2.3569626819132674;2.390309861619302;1.8245831869660363;2.182364559006082
MFI-PSCe-471;0.9139156;0.1890126;0.9946731;0.013999663;0.95918345;0.12588653;0.65655875;0.33364716;-37.97799381354991;170.52499970781773;1.9615670554766695;1.614143363585772;2.192448247173606;2.3518562373569587
MFI-PSCe-472;0.52466387;0.3704212;0.97288615;0.05866902;0.9996964;0.0013627178;0.12678468;0.19544479;30.17400279856542;170.56600078172198;1.5129628777653605;1.8742802421548506;2.7678647300816652;2.2697530323682034
MFI-PSCe-473;0.9844451;0.05247383;0.87585783;0.25451812;0.4431603;0.36693823;0.538033;0.3245855;-36.22399601169924;170.6219998511156;4.954508547004301;4.745489728143368;2.6922652504374622;1.890407848320381
MFI-PSCe-474;0.772493;0.24574241;0.003446414;0.016394448;0.03619816;0.14868467;0.0009944134;0.0046547293;-85.81699833328739;170.86799509430676;1.3715729904758167;1.4084391406772279;1.8807587189047639;1.385128994679184
MFI-PSCe-477;1.0;1.6858738e-08;0.9999974;1.40584525e-05;1.0;5.900559e-08;0.99995935;0.00015345133;33.17800441044827;171.15900315914544;6.792882829820093;6.880068172139535;3.163764962867067;2.8766039773136627
MFI-PSCe-484;1.0;0.0;1.0;0.0;0.15334082;0.2674722;2.88029e-08;1.1516414e-07;41.53400338345845;173.05600654889625;3.6646296624864316;3.7601716077669503;1.8644829998140349;1.9769002052473497
MFI-PSCe-485;0.72425514;0.29640442;0.9964956;0.011096061;0.0001742085;0.0005656999;2.8712561e-06;1.2188146e-05;-30.48299872547971;173.34100924212942;1.8262237780693906;2.074755452320931;1.6983684221041162;1.6521315712533888
MFI-PSCe-487;0.98102057;0.075306304;0.9999992;2.9638916e-06;1.0;0.0;0.9995594;0.0029607525;-81.68299567555731;173.5000016037054;2.7896622297040286;2.787022262348177;4.74474036603728;3.7586346550546437
MFI-PSCe-488;0.94448614;0.14872588;0.13235244;0.19966948;3.649286e-05;0.000121838624;1.1354736e-05;6.93527e-05;65.80400383531702;173.56900796905265;2.3771048895809064;2.057704678516877;1.7270410101704499;1.9432862710261853
MFI-PSCe-489;0.9992714;0.004285906;0.9999382;0.00023036459;1.0;7.679521e-08;0.99987364;0.00080985896;69.81399833102854;174.4780050146585;4.762919210458904;4.528774781581523;4.198126079411283;3.376802465198768
MFI-PSCe-490;0.99974585;0.00057799876;0.999316;0.0037886587;7.495938e-08;4.3777237e-07;4.022791e-06;2.1540838e-05;31.68000327172645;174.7200078921296;2.3838597810291153;1.8714086389854792;1.6261325294630091;1.6271051089005548
MFI-PSCe-492;1.0;0.0;1.0;0.0;0.99954695;0.0024983992;0.9398942;0.18790843;44.810004326569846;175.71700223940775;4.618460254268518;4.388747031879131;2.072359530509554;2.0793931949351303
MFI-PSCe-493;4.752171e-14;3.118778e-13;1.91163e-05;0.000105294865;9.798515e-09;5.697151e-08;0.00053579774;0.0026886836;64.76000508267474;176.2080004975522;0.5844910706895504;1.0108183110168303;0.4898195518444802;0.9876514941179416
